,user_location,text,Subjectivity,Polarity,Analysis
5384,India,oxfordastrazeneca jab effective uk covid variant study finds via indiatvnews oxfordastrazeneca,0.8,0.6,Positive
5396,India,afghanistan receives first batch made india covid vaccine ho hosearo gavi drsjaishankar,0.3333333333333333,0.25,Positive
5528,USA,kizzyphd 8 cdcgov vp gma kizzy yes knew going thru 2nd dose first dose symp,0.16666666666666666,0.125,Positive
5600,India,good news covaxin study covaxin developed indian pharma firm bharat biotech neutralizes uk variant,0.4333333333333334,0.19999999999999996,Positive
5627,India,meenaharris biggest fake hindu new janeudhari lady hindu born hoping dynast covaxin still,0.7272727272727273,-0.18181818181818182,Negative
5769,India,world health organisation confirms two chinese vaccine advanced stages trials ho hosearo gavi,0.3,0.2,Positive
5819,United Kingdom,historic day falklandislands first oxfordastrazeneca vaccine administered eligible people,0.16666666666666666,0.125,Positive
5835,India,case serious severe aefi adverse event following immunization death attributable vaccination ti,0.3833333333333333,-0.16666666666666666,Negative
5887,India,mall moscows red square enticing people take vaccine offering free icecream incentive,0.4,0.2,Positive
5888,India,least 20 countries approved inoculation use including european union memberstate hungary k,0.2,-0.15,Negative
5955,USA,covid19 amazing news moderna coronavirus vaccine bgr,0.9,0.6000000000000001,Positive
6020,United Kingdom,lebanese behind moderna vaccines,0.7,-0.4,Negative
6109,Canada,timesofindia independent confirmation usual take word unlike r,0.1875,-0.125,Negative
6245,USA,friend moderna covid19vaccine yesterday today barely walkbrutal headachearm pain nau,0.1,0.05,Positive
6254,England,oxfordastrazeneca vaccine offers minimal protection mild moderate forms,0.45,0.08333333333333333,Positive
6376,Canada,german residents care home tested positive british covid_19 b117 variant despite,0.1818181818181818,0.07575757575757576,Positive
6505,USA,craving drink bad abstaining alcohol since jan 7th my1st injection vaccine clear dire,0.5249999999999999,-0.29999999999999993,Negative
6590,Canada,torontostar tondamacc aballinga lol senior federal source brave nurses refused inject moderna,0.85,0.8,Positive
6660,India,oxford astrazeneca covid vaccine efficacy new strains discussed experts meet ho hosearo,0.45454545454545453,0.13636363636363635,Positive
6771,Canada,afp image 1st nurse getting vaccinated sputnikv iran isnt really appropriate 50k bitcoin article,0.5,0.5,Positive
6971,Canada,experimental covid vaccines mounting deaths reported media many die pfizer moderna shots,0.45,0.3,Positive
6984,USA,2nd moderna covid19 vaccine today side effects soreness injection site slight chills fatigue,0.08333333333333333,-0.08333333333333333,Negative
7109,USA,moderna arent interested horrible side effects,0.75,-0.375,Negative
7150,United Kingdom,1st jab done small prick second exactly like first husband covidvaccination oxfordastrazeneca,0.24583333333333335,0.0625,Positive
7176,United Kingdom,classy british borisjohnson covid19 dailycovidupdate couldve made huge deal,0.6,0.1666666666666667,Positive
7178,United Kingdom,new youtube vlog 𝗖𝗢𝗩𝗜𝗗 𝗢𝗫𝗙𝗢𝗥𝗗 𝗔𝗦𝗧𝗥𝗔𝗭𝗘𝗡𝗘𝗖𝗔 𝗩𝗔𝗖𝗖𝗜𝗡𝗘 𝗩𝗟𝗢𝗚 𝗤 amp 𝗔 𝗪𝗜𝗧𝗛 𝗝𝗘𝗦𝗦𝗜𝗖𝗔 𝗔𝗡𝗗 𝗪𝗔𝗬𝗡𝗘,0.45454545454545453,0.13636363636363635,Positive
7192,India,world health organization issue interim recommendations use covid19vaccine developed,0.3,0.1,Positive
7220,India,india reports close 13k new covid cases 108 deaths india covid19 covishield covaxin,0.45454545454545453,0.13636363636363635,Positive
7354,Canada,lecturing dictators human rights meaningless youre also taking oil gas cash abo,0.55,-0.25,Negative
7406,Canada,monthlong slowdown canadas covid_19 vaccine deliveries end next week single biggest ship,0.10714285714285714,-0.03571428571428571,Negative
7435,India,chinese sinopharm doesnt seem effective friend colleagues uae took first,0.37777777777777777,0.2833333333333333,Positive
7510,Canada,bestwholenew julie_bertoia randyhillier catherinegalway oakvillehf lol researcher unpaid ye,0.55,0.5,Positive
7637,USA,mrna vaccines wuhan coronavirus caused blood disorder least 36 people,0.4,-0.3,Negative
7780,India,ts_singhdeo sir u clearly mentioned due non availability phase 3 results expiry date,0.37916666666666665,-0.01249999999999999,Negative
7789,India,chhattisgarh asks centre halt covaxin harsh vardhans response,0.7,-0.2,Negative
8022,Canada,cafreeland one solution get vaccines economic recovery cant happen without pfizervaccine moderna cdnpoli,0.2,0.2,Positive
8090,United Kingdom,jcvi green book updated includes moderna mrna vaccine advice managing allergic history allergies aft,0.3,-0.2,Negative
8169,United Kingdom,amazing week covid19 vaccinating vulnerable groups across falkandislands including island hopping,0.7,0.050000000000000044,Positive
8175,India,approval covaxin homegrown vaccine developed bharat biotech faced unrelenting criticism espe,0.3,0.1,Positive
8202,Canada,greaterkashmir kashmir per se vaccination hesitancy however covaxin unknown vaccine,0.6,-0.1,Negative
8226,India,india supplies 23 million covid19 vaccines 20 countries indiablooms first portal digital news management,0.16666666666666666,0.125,Positive
8294,USA,much data paper well done b1351 variant average 100fold resistant neutraliz,0.3,0.02500000000000001,Positive
8329,United Kingdom,military allowed buy covid 19 vaccines private companies myanmar benefit rich militarynot publ,0.4083333333333334,0.09166666666666667,Positive
8527,India,aiims covaxin effective 912 months serious sideeffects far aiims serious covaxin,0.7833333333333333,0.008333333333333345,Positive
8532,India,exclusive contrary popular belief swadeshi indian covid19 vaccine covaxin maker bharatbiotech bac,0.9,0.6,Positive
8761,Canada,many covid19 variants viruses mutate replication 3 variants uk brazilian southafrican,0.5,0.5,Positive
9053,USA,anecdotally worse rxn people moderna vs pfizer looked patents surprisingly,0.55,0.14999999999999997,Positive
9277,United Kingdom,channel4news looking russian sputnikv vaccine problem reviewing many com,0.25,0.25,Positive
9381,India,hungary first eu nation get covid19 vaccine chinas sinopharm eu covidvaccine china sinopharm,0.3333333333333333,0.25,Positive
9499,Canada,mariamkr21 arr110r also hear person behind moderna talented armenian quite life story,0.8,0.14999999999999997,Positive
9543,USA,financialtimes sure bc darpa funding development implantable biochipthe chip able de,0.7569444444444444,0.5,Positive
9563,USA,naomirwolf defense advanced research projects agency darpa funding development implantable biochipthe,0.6,0.4,Positive
9588,Canada,moderna experimental mrna vaccine trials extended children vaccines 6monthold babies texas,0.4,0.1,Positive
9601,India,media reports stated spain receiving half 400000 moderna doses expecting,0.16666666666666666,-0.16666666666666666,Negative
10445,Canada,hongkong fast tracks chinas sinovac vaccine approval,0.6,0.2,Positive
10451,Canada,available vaccine vaccines medical covidvaccine domains domain moderna,0.2,0.2,Positive
10462,USA,single pfizer moderna vaccine dose nearly effective two,0.5071428571428571,0.2642857142857143,Positive
10642,India,ani late patanjali covaxin far better coroniltablet,0.7000000000000001,0.10000000000000002,Positive
10654,India,im confused take dose covaxin covishield take dibbi patanjalicoronil,0.7,-0.4,Negative
10704,India,dr reddys applied emergency use approval sputnikv coronavirus vaccine developed russias ga,0.3,0.1,Positive
10729,India,coronaviruspandemic live srilanka procure 10 million doses covid19vaccine india dr reddys seeks,0.5,0.13636363636363635,Positive
11040,India,harsh usa nothing world covid vaccines tvmohandaspai pgurus1,0.7,-0.2,Negative
11041,USA,many die daniel thayne simpson retired accountant served navy korean war,0.5,0.5,Positive
11140,Canada,indiatoday arvindersoin snehamordani india good vaccine acceptability however strange unscientific,0.37500000000000006,0.32499999999999996,Positive
11162,India,pharma major dr reddys laboratories seeks emergency use authorisation sputnik v vaccine dcgi dcgi,0.5,0.0625,Positive
11490,United Kingdom,huge thank everyone nhskentchft vaccination centre gravesend yesterday especially jess amanda,0.95,0.20000000000000004,Positive
11500,India,spectatorindex isnt fascistloving israelipm using fellow fascist modis much propagated covaxin scared eh,0.2,0.2,Positive
11618,India,astrazeneca vaccine work better faster 2nd dose replaced sputnikvmakers,0.25,0.25,Positive
11932,India,visionary leader leading front proud hble pm shri narendramodi ji took vaccine sh,1.0,0.8,Positive
11956,India,seems modi taken vaccine today let true photoshoot hope great charismatic leaders,0.7999999999999999,0.5499999999999999,Positive
12024,India,india coronavirus dispatch latest statistics covid19pandemic need know sputnikv vacc,0.9,0.5,Positive
12040,England,piersmorgan little bit astrazeneca life little bit biontech side little bit sputnikv,0.5,-0.1875,Negative
12257,United Kingdom,sick parent teens coronavirus vaccine guinea pigs moderna eventually want test experim,0.8571428571428571,-0.7142857142857143,Negative
12349,Canada,mrna moderna stock liked got around 100 took profit position,0.8,0.6,Positive
12373,United Kingdom,news today new study shows single covid19 vaccine jab linked drop hospital admissions,0.3344155844155844,0.032467532467532464,Positive
12377,India,pm right wear assamese gamchha right freedom wear vaccine covaxin pmtakesjab,0.5357142857142857,0.2857142857142857,Positive
12391,India,prime minister narendramodi wrote twitter taking first dose covid19 vaccination aiims read mo,0.3333333333333333,0.25,Positive
12469,India,officials said first women 35yearold treated kasturba medical hospital mani,0.16666666666666666,0.125,Positive
12477,India,bharat biotech releasing first set efficacy data vaccine ongoing phase3 trials,0.3333333333333333,0.25,Positive
12488,India,covaxin efficacy data 2 weeks major boost numbers good,0.55,0.38125,Positive
12497,India,covax programme aims get covid19 shots least 20 per cent population worlds poorest c,0.4,-0.3,Negative
12544,USA,marianofederici 2 months ago many friends prominent senator opposition criticizing,0.75,0.5,Positive
12904,United Kingdom,take vaccine watch first vaccinepassports,0.3333333333333333,0.25,Positive
12970,India,many bitcoin investors must doubts future india article look fut,0.3125,0.25,Positive
13026,India,prime minister mr narendramodi ji today 625 delhis first dose covaxin made indiaat aiims hospita,0.3333333333333333,0.25,Positive
13035,India,prime minister narendramodi monday received first dose covaxin indigenous coronavirus vaccine deve,0.3333333333333333,0.25,Positive
13047,India,p niveda nurse gave pm jab says happy meet pm narendramodi milan_reports also joins,1.0,0.8,Positive
13082,India,second phase vaccination drive jab govt hospitals remain free private hospitals charge rs 250 dose watch,0.39166666666666666,0.13333333333333333,Positive
13100,India,pm narendramodi gets first dose covid19 vaccine phase 2 vaccination begins watch palaksharmanews,0.3333333333333333,0.25,Positive
13113,India,prime minister narendra modi receives first dose covaxin aiims delhi urges eligible citizens g,0.3333333333333333,0.25,Positive
13131,India,pm narendramodi took first dose covid19vaccine aiims delhi today led way,0.3333333333333333,0.25,Positive
13168,India,narendramodi administered covaxin indias homegrown covid19 vaccine developed bharatbiotech india,0.3,0.1,Positive
13175,India,exclusive prime minister narendramodi took first dose covid19 vaccine aiims delhi today,0.3333333333333333,0.25,Positive
13209,India,pm narendra modi gets first jab ncov vaccine india enters second phase immunisation drive,0.16666666666666666,0.125,Positive
13222,India,pm narendramodi today took first dose coronavirus vaccine appealed elig,0.3333333333333333,0.25,Positive
13232,India,ima past president rajeev jayadev talks coronavaccines tells vaccines safe covaxin,0.375,0.125,Positive
13238,India,narendramodi ji waited turn take covaxin aiims every day pm setting new examples true,0.5522727272727272,0.24318181818181817,Positive
13251,India,pm modi gets first dose bharat biotechs covaxin covid19 pmmodi narendramodi covaxin coronavirus,0.3333333333333333,0.25,Positive
13256,India,pm narendra modi takes first dose covid19 vaccine delhis aiims covaxin,0.3333333333333333,0.25,Positive
13259,India,watch prime minister narendramodi takes first dose covid19 vaccine aiims delhi today adm,0.3333333333333333,0.25,Positive
13264,India,modi ji leading front taking first short today covaxin remove doubts vaccine vac,0.31666666666666665,0.125,Positive
13299,India,pm narendramodi takes first dose coronavirus vaccine covaxin bharatbiotech aiims delhi,0.3333333333333333,0.25,Positive
13306,India,ani video strict slap face peoples asking live video pm modi taking vaccine covaxin,0.5,0.13636363636363635,Positive
13333,India,narendramodi pms amp presidents countries took first dose vaccine give confidence ppl u used,0.3333333333333333,0.25,Positive
13350,India,pm narendramodi gets first dose covaxin asks eligible citizens get vaccinated dr naresh trehan lauds,0.3333333333333333,0.25,Positive
13372,India,breaking pm narendramodi took first dose coronavirus vaccine covaxin pm modi appeal w,0.3333333333333333,0.25,Positive
13391,India,question left pm modi took first dose vaccine covid19 covishield covaxin,0.16666666666666666,0.125,Positive
13396,India,breaking prime minister narendra modi took first dose covid19 vaccine aiims delhi covaxin,0.3333333333333333,0.25,Positive
13436,India,breaking pmoindia says took first dose bharat biotechs covaxin mohfw_india drharshvardhan,0.3333333333333333,0.25,Positive
13492,India,hope indians afford price heard many rumors pricing vaccine covishield covaxin,0.5,0.5,Positive
13543,India,covaxin nitiaayog promulgated price range rs 300500 two covidvaccines would available,0.4,0.4,Positive
13575,USA,potus joebiden buy vaccine india effective cheaper usa covaxin,0.8,0.6,Positive
13592,India,brazils health ministry said statement deal worth 16 billion reais 290000 first 8,0.21666666666666667,0.275,Positive
13616,India,bharat biotech international friday confirmed signing agreement brazil supply 20 million dos,0.5,0.2,Positive
13689,India,far brazil vaccinated less 4 per cent population 210 million people cities stoppin,0.5333333333333333,-0.033333333333333326,Negative
13700,India,12 ordered doses covaxin administered frontline workers far coronavaccine,1.0,0.1,Positive
13778,India,drreddys anxiously awaits permission administer sputnikv vaccine india look inside companys,1.0,-0.25,Negative
13814,India,vaccine proved 916 effective covid19 based latestage trials russia results published,0.8,0.6,Positive
13815,India,meeting subject expert committee sec scheduled held today discuss dr reddys application seeking emer,0.4666666666666667,-0.13333333333333333,Negative
13901,United Kingdom,vaccine pfizerbiontech anyone else feel like crap vaccine,0.8,-0.8,Negative
14057,USA,incredibly grateful yvfwc miramar health clinic pasco prioritizing educators despite state denial need,0.9,0.9,Positive
14201,USA,safe vaccines covid19vaccine pfizer moderna,0.5,0.5,Positive
14308,India,coronavirus live updates pm modi gets bharat biotechs covaxin jab vaccine registration opens today cowin 2,0.5,0.13636363636363635,Positive
14331,India,home minister amitshah likely administered bharatbiotechs covaxin prime minister narendra mod,0.7,0.1,Positive
14359,India,prime minister narendra modi took first dose covid19 vaccine aiims delhi today covaxin breaking,0.3333333333333333,0.25,Positive
14367,India,pm modi home minister amitshah get first dose covid vaccine today covid19vaccination covaxin,0.3333333333333333,0.25,Positive
14422,India,primeminister narendramodi monday took first dose coronavirusvaccine india institute,0.3333333333333333,0.25,Positive
14485,India,pm narendramodi took first dose covid19 vaccine today aiims delhi led way,0.3333333333333333,0.25,Positive
14490,India,india records 15510 new covid19 cases past 24 hours 106 deaths india covid19,0.3522727272727273,-0.05681818181818182,Negative
14502,India,proud smilefrom prime minister made india scientist doctor medical researches development world c,0.5,0.4,Positive
14503,India,httweets narendramodi smritikak taking covid vaccine covaxinon first day given,0.3333333333333333,0.25,Positive
14528,India,covaxin waited turn like common man called true leader kudos mondaymotivation,0.575,0.024999999999999994,Positive
14555,India,prime minister narendramodi tooks first dose covaxin india institute medical sciencenew delhiin,0.16666666666666666,0.125,Positive
14558,India,look way round pmoindia taking jab makeinindia covaxin produced invented bharatbiotech adm,0.4,-0.2,Negative
14584,USA,sorry thelancet dont believe anything read sputnikv data peer reviewed provided,1.0,-0.5,Negative
14887,India,moderna says new vaccine targets south african variant novel coronavirus ready testing,0.3181818181818182,0.11212121212121212,Positive
15008,USA,moderna launch trials new booster vaccine targets south african covid variant within weeks via,0.22727272727272727,0.06818181818181818,Positive
15084,India,coronaviruspandemic live delhi sees 220 new covid19 cases 188 recoveries last 24 hours covid19 va,0.34040404040404043,0.0909090909090909,Positive
15117,India,new research suggests 12week gap doses oxfordastrazeneca vaccine might better sho,0.4772727272727273,0.3181818181818182,Positive
15164,India,first jab taken pm narendramodi today aiims picture eliminate doubts spread,0.3333333333333333,0.25,Positive
15247,India,headlinesthatmatter check todays splainer updates great vaccination drive,0.75,0.8,Positive
15252,India,latest twitter trends india 1 covaxin 2 mondaymotivation 3 hbdmkstalin 4 mondaythoughts 5,0.9,0.5,Positive
15268,India,today motivational quotes good morning mondaymotivation coronavaccine covaxin narendramodi coronavirus,0.6000000000000001,0.7,Positive
15281,India,prime minister narendramodi took first dose covid19vaccine delhis aiims administered bharat biotechs covaxin,0.3333333333333333,0.25,Positive
15301,India,first route beneficiaries able selfregister advance downloading cowin 20 portal,0.47916666666666663,0.375,Positive
15326,India,thought pm नरदर मद getting first dose covaxin aiims delhi look closer lefti,0.3333333333333333,0.25,Positive
15337,India,high unemployment high inflation india stagflation government governance vacation covaxin,0.5399999999999999,0.16,Positive
15348,India,pm narendramodi took first dose covid19 vaccine aiims delhi today narendramodi took dose loca,0.3333333333333333,0.25,Positive
15353,USA,best weight loss program 2020 weight loss programs work feeling lighter pound,0.3,1.0,Positive
15375,India,pm shrinarendramodi ji placed trust bharats biotechs covaxin majorly vilified usual nega,0.375,-0.09375,Negative
15389,India,pmmodi leading example takes indigenous covid19 vaccine covaxin bharatbiotech sure wi,0.8888888888888888,0.5,Positive
15400,India,glad know pmoindia narendramodi ji took first dose covid19vaccine covaxin locally developed,0.5444444444444444,0.2833333333333333,Positive
15401,India,pm narendra modi takes first dose covaxin delhis aiims leadershipmatters pmnarendramodi covid19,0.3333333333333333,0.25,Positive
15421,India,leading front pm narendramodi took first dose covidvaccine covaxin,0.3333333333333333,0.25,Positive
15431,India,pm shri narendramodi ji placed trust bharat biotechs covaxin majorly vilified usual neg,0.375,-0.09375,Negative
15433,India,today indian pm narendramodi ji took covaxin indias indigenous covid19vaccine developed bharatbiotech,0.3,0.1,Positive
15457,India,leading front pm narendramodi took first dose covidvaccine aiims like common man covaxin,0.41666666666666663,-0.024999999999999994,Negative
15591,United Kingdom,fantastic finish week receiving pfizerbiontech covid19 vaccine completely painless super grate,0.6555555555555556,0.27777777777777773,Positive
15804,USA,day two first moderna vaccine side effect feeling sleepy immune system wants rest,0.21666666666666667,0.225,Positive
15936,India,vaccine diplomacy indias vaccine capacity acting gamechanger china stayhighonnews ewoketv china,0.0,0.15,Positive
